donor_id,username,reputation_score,joined_at,wallet_id
68fc3335-8790-444e-bb01-bf4813af15fc,user_17,0.27,2025-12-02 21:25:01.174196+04,6e8d64a2-daf5-4161-96b6-c711bef770a1
76a4116a-f402-4330-a9bd-fa954ec88ba0,user_18,0.02,2025-12-02 21:25:01.174345+04,561c8da3-c3ea-49bc-8e8a-ba30646ef869
d5aa8235-3708-4dfb-bea4-32461377cc34,user_19,0.14,2025-12-02 21:25:01.174495+04,4d589928-a696-438a-8378-f25a52675e14
223c30f3-03ff-4137-8625-abe64f31500a,user_20,0.56,2025-12-02 21:25:01.17464+04,6e8d64a2-daf5-4161-96b6-c711bef770a1
96963865-99e1-4908-83fa-c9788c519b55,user_21,0.04,2025-12-02 21:25:01.174783+04,fa5c60dc-a978-42e9-814b-d7808cb73ed1
f4abe80d-0cca-436d-9e5b-483aa62384bb,user_22,0.77,2025-12-02 21:25:01.174918+04,e6272bfd-291e-4737-8464-8107c08cbead
6328e51a-4589-488f-8478-5bc11d9f8d58,user_23,0.75,2025-12-02 21:25:01.175066+04,1a1cfa27-16d1-4cfa-8d5c-b95bd01856e2
11e1ee5d-af3a-4cbb-8872-de7402fdfcd4,user_24,0.45,2025-12-02 21:25:01.175216+04,996cd2b0-475f-4dff-bc66-9c00b36b62ee
32c31985-501f-482d-b583-82ff39c7bd94,user_25,0.97,2025-12-02 21:25:01.175366+04,da6395c9-86b8-4863-87fc-992e20c7869a
32d4b70a-86d9-44f9-8293-4b22d373b991,user_26,0.74,2025-12-02 21:25:01.175517+04,08716739-0ab0-43a5-b786-495640ca4721
868acef0-6a44-4df8-a56e-7387886c8d55,user_27,0.11,2025-12-02 21:25:01.175871+04,daefddde-8104-4bdc-bd38-fdc4106465b7
4495e651-ef8a-4c18-aefc-7501ae3af1d6,user_28,0.18,2025-12-02 21:25:01.17614+04,8003b90e-ada6-4637-8b7e-0641e63d38be
8d980f07-2304-4f04-b93e-52889ef82af3,user_29,0.78,2025-12-02 21:25:01.176287+04,34b7c3a6-9e80-4234-a38f-c0715965ce1a
ef5b1de2-1f21-4115-a310-51656a85790e,user_30,0.13,2025-12-02 21:25:01.176428+04,59cc8ae1-48b5-41ab-bd6c-048deeed7300
f7b36bc7-d94c-4c7d-83c9-d5bc75dc5ced,marquezjulie,70.96,2025-12-02 21:44:46.625882+04,09c52e81-be67-410c-abe0-c01012d8ed19
c7fe865c-9939-4d25-886e-5f2d068e6de4,nguzman,50.47,2025-12-02 21:44:46.626875+04,2e04bb45-72a4-4331-b2de-002eb1fe7541
b1475c81-6a0c-44c8-bb4f-8cc3b84ec413,annette15,0.02,2025-12-02 21:44:46.627107+04,700f00be-b364-4723-a1c4-0b554df453ff
301f6484-137b-4c8a-a80f-4bad0c31fbbc,wrightmichael,14.1,2025-12-02 21:44:46.62733+04,700f00be-b364-4723-a1c4-0b554df453ff
146957a1-2d48-4357-9cfb-c62cfb5df4c6,bbaker,3.52,2025-12-02 21:44:46.627518+04,aba7dd08-ac7c-4cd2-8c6d-7cbdc95bdef6
bb664472-d1a0-4cad-86a9-939034ec754b,camposjerry,95.36,2025-12-02 21:44:46.627725+04,0f4f051b-0acc-4708-b34f-f4524b0efac8
696e4ba1-94c0-429a-a4de-926b60cff2de,bhampton,90.12,2025-12-02 21:44:46.627916+04,2e04bb45-72a4-4331-b2de-002eb1fe7541
1184f41e-c73b-4e35-b60e-6a21c32d83d4,hoffmanjacob,53.96,2025-12-02 21:44:46.628112+04,0f4f051b-0acc-4708-b34f-f4524b0efac8
1425aa58-aff5-4ed7-a454-7fcac7a47f43,diazelizabeth,13.06,2025-12-02 21:44:46.628302+04,ba9f6ba7-ce46-43d1-8a4b-efe9be9ee3d0
9719ff6f-8188-4c1f-aa27-4f1d21106015,pperry,78.71,2025-12-02 21:44:46.628472+04,8f272f62-9909-4351-a3cd-6a70e53a0ffc
f8ca4681-a60f-493b-80dc-5699e77302a9,amandawhite,98.58,2025-12-02 21:44:46.628669+04,700f00be-b364-4723-a1c4-0b554df453ff
b3732da3-2b96-448f-83e0-08fcdd6b7323,dianemolina,72.39,2025-12-02 21:44:46.628862+04,0f4f051b-0acc-4708-b34f-f4524b0efac8
304c1ed3-b65f-4e5f-b46c-09a340b75868,steven61,19.57,2025-12-02 21:44:46.629025+04,aba7dd08-ac7c-4cd2-8c6d-7cbdc95bdef6
31e6d727-17fa-4408-b4c2-4bf880d01876,sean42,58.32,2025-12-02 21:44:46.629191+04,b7af1f31-67a2-470e-9636-0af834d84c61
a31a49c3-280b-408e-8116-027a638f5a22,michelle86,89.39,2025-12-02 21:44:46.629355+04,2e04bb45-72a4-4331-b2de-002eb1fe7541
