wallet_id,address,balance,status,last_activity
9dbbd28d-e6c2-4695-926e-6dc92dc60619,0xE20D055632,828.95450000,flagged,2025-12-02 21:25:01.169075+04
561c8da3-c3ea-49bc-8e8a-ba30646ef869,0xA374236B0D,842.74530000,flagged,2025-12-02 21:25:01.169365+04
628ad412-fa5b-4315-81bd-115dfc1c4e30,0x7E8ECB7D72,227.08320000,frozen,2025-12-02 21:25:01.169501+04
59acf8b5-3108-4a3b-ab98-7d73728d4845,0xDC9DBAC91B,668.32740000,flagged,2025-12-02 21:25:01.169923+04
39983f03-b27b-4e8a-989f-2e8ad6d667b8,0x88278DD334,164.43620000,active,2025-12-02 21:25:01.170065+04
1a009dd8-680c-4346-ac57-d72ce06570a6,0x2A3CD9D0A4,688.53890000,frozen,2025-12-02 21:25:01.170208+04
da6395c9-86b8-4863-87fc-992e20c7869a,0xA107EBA972,916.52960000,active,2025-12-02 21:25:01.17035+04
e6272bfd-291e-4737-8464-8107c08cbead,0x65C354EBE5,435.31490000,flagged,2025-12-02 21:25:01.170489+04
08716739-0ab0-43a5-b786-495640ca4721,0x13DFFF3DF4,873.60420000,active,2025-12-02 21:25:01.170628+04
46541ff0-a7b4-4dd2-ad85-47ecb45ace72,0x########################,2078.83908217,frozen,2025-12-02 21:43:47.727367+04
2e04bb45-72a4-4331-b2de-002eb1fe7541,9a4bd83c-c258-4678-99f2-b0b32b86476f,3713.96611826,frozen,2025-12-02 21:44:46.622795+04
34f80f85-063d-4a65-9d55-d8c90c94c053,82ee0a9a-129d-45e9-aae2-8df13ec92f72,7878.95248338,active,2025-12-02 21:44:46.623921+04
a5dd1500-a5a9-4571-acf5-350961b82fd6,87194157-2489-44b3-8a85-f59c9f86ae51,6652.54498749,frozen,2025-12-02 21:44:46.624155+04
aba7dd08-ac7c-4cd2-8c6d-7cbdc95bdef6,26289fa9-a49b-470c-ac06-297a3dba4afa,7720.62800431,frozen,2025-12-02 21:44:46.624362+04
ba9f6ba7-ce46-43d1-8a4b-efe9be9ee3d0,3740bf2e-a180-4884-9c18-c7cf43023874,2388.00453842,flagged,2025-12-02 21:44:46.624538+04
0f4f051b-0acc-4708-b34f-f4524b0efac8,c3113ada-f197-4a95-a659-1882924fce2a,4088.70270722,active,2025-12-02 21:44:46.624714+04
8f272f62-9909-4351-a3cd-6a70e53a0ffc,266c1e84-3277-4dac-b88f-c873ed6632c5,8566.28006223,active,2025-12-02 21:44:46.624882+04
b7af1f31-67a2-470e-9636-0af834d84c61,3ada2124-9837-4eee-9687-63422d57cf90,2721.50786262,active,2025-12-02 21:44:46.625042+04
700f00be-b364-4723-a1c4-0b554df453ff,58a94447-533a-45e7-bcc0-ee32b801a503,3481.37880408,flagged,2025-12-02 21:44:46.625225+04
09c52e81-be67-410c-abe0-c01012d8ed19,434ee72e-ebd1-4026-8382-65bbf460ff04,9393.41442126,flagged,2025-12-02 21:44:46.625413+04
